date,code,name,product,median,avg,low,high,count
2026-04-04,ME02,Phantasmal Flames,PC ETB,160.0,161.43,130.0,225.0,57
2026-04-04,ME02,Phantasmal Flames,Booster Bundle,84.99,84.15,70.0,105.0,51
2026-04-04,ME2.5,Ascended Heroes,ETB,188.0,190.52,165.0,230.0,69
2026-04-04,ME2.5,Ascended Heroes,Booster Bundle,100.0,101.44,79.0,135.0,25
2026-04-04,ME03,Perfect Order,Booster Box,320.0,321.5,286.0,375.95,24
2026-04-04,ME03,Perfect Order,ETB,124.99,125.66,107.0,145.0,27
2026-04-04,ME03,Perfect Order,PC ETB,125.0,126.15,115.0,140.0,15
2026-04-04,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-04,PROMO,EB Games Promos,Gengar 050/088,149.5,145.83,96.0,190.5,48
2026-04-04,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR PSA 10,799.5,799.5,799.5,799.5,1
2026-04-04,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR Raw,254.99,255.28,150.0,350.0,43
2026-04-04,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR PSA 9,884.5,884.5,799.0,969.99,2
2026-04-05,ME01,Mega Evolution,Booster Box,400.0,400.0,400.0,400.0,1
2026-04-05,ME01,Mega Evolution,Enhanced Booster Box,420.0,421.81,375.0,499.88,41
2026-04-05,ME01,Mega Evolution,ETB,162.49,159.95,139.0,185.0,20
2026-04-05,ME01,Mega Evolution,PC ETB,165.0,162.05,139.0,185.0,19
2026-04-05,ME01,Mega Evolution,Booster Bundle,85.0,83.33,70.0,100.0,27
2026-04-05,ME02,Phantasmal Flames,Booster Box,467.5,469.87,363.0,600.0,134
2026-04-05,ME02,Phantasmal Flames,ETB,155.0,160.1,125.0,215.0,135
2026-04-05,ME02,Phantasmal Flames,PC ETB,162.47,163.56,130.0,225.0,58
2026-04-05,ME02,Phantasmal Flames,Booster Bundle,84.99,84.15,70.0,105.0,51
2026-04-05,ME2.5,Ascended Heroes,ETB,185.0,187.39,157.5,230.0,103
2026-04-05,ME2.5,Ascended Heroes,PC ETB,187.0,187.98,165.0,220.0,50
2026-04-05,ME2.5,Ascended Heroes,Booster Bundle,100.0,103.24,79.0,140.0,25
2026-04-05,ME03,Perfect Order,Booster Box,320.0,319.64,275.0,375.95,25
2026-04-05,ME03,Perfect Order,ETB,122.4,124.28,100.0,147.98,33
2026-04-05,ME03,Perfect Order,PC ETB,125.0,125.66,110.0,140.0,17
2026-04-05,ME03,Perfect Order,Booster Bundle,70.0,73.82,57.0,93.5,11
2026-04-05,PROMO,EB Games Promos,Gengar 050/088,129.99,128.33,80.0,200.0,127
2026-04-05,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR PSA 10,799.5,799.5,799.5,799.5,1
2026-04-05,JT,Journey Together,Lillie's Clefairy ex 184/159 SIR Raw,258.99,259.61,194.5,350.0,35
2026-04-05,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR PSA 10,1952.0,2010.86,1775.0,2275.0,7
2026-04-05,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR PSA 9,969.99,919.66,799.0,990.0,3
2026-04-05,SV10,Destined Rivals,Team Rocket's Mewtwo ex 231/182 SIR Raw,775.0,778.86,599.0,1000.0,44
