date,code,name,product,median,avg,low,high,count
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #078 SR PSA 10,123.04,124.26,122.09,127.66,3
2026-04-22,MBRAVE,Mega Brave,Mega Absol ex #079 SR PSA 10,113.35,118.17,67.58,178.41,4
2026-04-22,MBRAVE,Mega Brave,Mega Mawile ex #080 SR PSA 10,89.99,89.99,89.99,89.99,1
2026-04-22,MBRAVE,Mega Brave,Lillie's Determination #086 SR PSA 10,476.79,477.46,410.95,576.76,7
2026-04-22,MBRAVE,Mega Brave,Mega Venusaur ex #087 SR PSA 10,222.54,223.35,150.26,285.0,31
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #088 SR PSA 10,382.89,381.13,236.76,521.17,16
2026-04-22,MBRAVE,Mega Brave,Mega Absol ex #089 SR PSA 10,150.31,150.19,115.35,184.55,22
2026-04-22,MBRAVE,Mega Brave,Lillie's Determination #091 SR PSA 10,1198.27,1274.52,1048.64,1507.38,11
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #092 SR PSA 10,2237.13,2353.06,2009.21,2754.38,12
2026-04-22,MSYMPH,Mega Symphonia,Shuckle #064 SR PSA 10,125.83,125.83,123.01,128.65,2
2026-04-22,MSYMPH,Mega Symphonia,Ninjask #065 SR PSA 10,86.9,86.9,86.9,86.9,1
2026-04-22,MSYMPH,Mega Symphonia,Snover #067 SR PSA 10,67.61,72.09,66.23,86.9,4
2026-04-22,MSYMPH,Mega Symphonia,Clawitzer #068 SR PSA 10,85.75,85.75,84.59,86.9,2
2026-04-22,MSYMPH,Mega Symphonia,Inteleon #069 SR PSA 10,66.89,68.91,54.95,86.9,4
2026-04-22,MSYMPH,Mega Symphonia,Helioptile #070 SR PSA 10,64.6,79.32,64.46,108.9,3
2026-04-22,MSYMPH,Mega Symphonia,Alakazam #071 SR PSA 10,96.3,96.23,76.9,110.74,22
2026-04-22,MSYMPH,Mega Symphonia,Shedinja #072 SR PSA 10,86.9,86.9,86.9,86.9,2
2026-04-22,MSYMPH,Mega Symphonia,Houndstone #073 SR PSA 10,69.83,75.31,69.21,86.9,3
2026-04-22,MSYMPH,Mega Symphonia,Delibird #074 SR PSA 10,78.36,79.44,63.11,97.9,4
2026-04-22,MSYMPH,Mega Symphonia,Mega Abomasnow ex #076 SR PSA 10,77.59,77.59,76.9,78.28,2
2026-04-22,MSYMPH,Mega Symphonia,Mega Manectric ex #077 SR PSA 10,68.39,68.39,67.58,69.21,2
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #078 SR PSA 10,108.74,118.58,80.0,174.23,7
2026-04-22,MSYMPH,Mega Symphonia,Mega Latias ex #079 SR PSA 10,122.5,130.69,67.58,221.17,11
2026-04-22,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #080 SR PSA 10,146.73,144.49,120.53,166.22,3
2026-04-22,MSYMPH,Mega Symphonia,Rare Candy #082 SR PSA 10,54.05,54.05,52.28,55.81,2
2026-04-22,MSYMPH,Mega Symphonia,Acerola's Prank #084 SR PSA 10,156.62,156.53,149.09,163.79,4
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #087 SR PSA 10,439.99,429.03,360.0,489.59,21
2026-04-22,MSYMPH,Mega Symphonia,Mega Latias ex #088 SR PSA 10,226.23,222.9,151.5,276.39,31
2026-04-22,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #089 SR PSA 10,166.51,172.13,121.15,216.35,20
2026-04-22,MSYMPH,Mega Symphonia,Acerola's Prank #090 SR PSA 10,357.49,395.95,250.0,573.05,12
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #092 SR PSA 10,2293.36,2309.26,1999.37,2656.12,6
2026-04-24,NINJA,Ninja Spinner,Mega Greninja ex #114 SR PSA 10,1252.93,1196.74,1005.57,1368.72,13
2026-04-24,NINJA,Ninja Spinner,Mega Floette ex #115 SR PSA 10,614.15,613.77,612.94,614.22,3
